Name,Address,Phone_No,Phone_No_2,Opening_Hours,Facilities,Disability_Access,Parking,Latitude,Longitude
Acacia Ridge Leisure Centre,"1391 Beaudesert Road, Acacia Ridge",3277 8686,,"SUMMER HOURS (21 September 2013 - 20 April 2014):
Indoor pool:
Monday - Thursday: 6:00am - 7:00pm
Friday: 6:00am - 6:00pm
Saturday: 8:00am - 5:00pm
Sunday: 9:00am - 5:00pm
Outdoor pool:
Saturday and Sunday: 10.00am - 5.00pm
School holidays: 10:00am - 5:00pm
Public holidays: closed Christmas Day and Good Friday

WINTER HOURS:
During winter, reduced facilities are available at the pool. The outdoor pool is closed. Please phone the pool for more information or go to their website.
Indoor pool only:
Monday - Thursday: 6:00am - 7:00pm
Friday: 6:00am - 6:00pm
Saturday: 8:00am - 5:00pm
Sunday: 9:00am - 5:00pm
Public holidays: Closed winter public holidays","Aqua-aerobics, Disabled Access/Facilities, Heated pool, Indoor Pool, Lifeguards, Open in winter, Outdoor pool, Squad Swimming, Swimming lessons, Water play",Yes,Free Car parking: 120 spaces; Public transport: Bus,-27.58616,153.026354
Bellbowrie Pool,"Sugarwood Street, Bellbowrie",3202 6620,,"SUMMER HOURS (21 September 2013 - 20 April 2014):
Monday, Wednesday and Thursday: 7:00am - 7:00pm
Tuesday: 5:30am - 7:00pm
Friday: 5:30am - 6:00pm
Saturday and Sunday: 8:00am - 6:00pm
Public Holidays: 9:00am - 5:00pm. Closed Christmas Day.

WINTER:
This pool is closed for winter from 15 April - 20 September 2013.","Disabled Access/Facilities, Heated pool, Indoor Pool, Lifeguards, Outdoor pool, Squad Swimming, Stroke Development, Swimming lessons, Wading pool, Water play",Yes,Sealed Parking on right hand side; Public transport: Buses,-27.565466,152.891082
Carole Park,Cnr Boundary Road and Waterford Road Wacol,1300 332 583,3271 6116,"SUMMER (21 September 2013 - 31 March 2014):
Monday - Friday 5:30am - 7.30am and 11am - 6pm
Saturday and Sunday: 11am - 4pm
Public holidays: Contact the pool for details. Closed Christmas Day

WINTER:
This pool is closed during winter.","Aqua-aerobics, Heated pool, Kiosk, Lifeguards, Outdoor pool, Swimming lessons, Wading pool",No,Free Car parking; Public transport: Bus & train,-27.607439,152.931511
Centenary Pool (inner City),"400 Gregory Terrace, Spring Hill",3831 7665,,"POOL SUMMER HOURS:
Monday - Thursday: 5am - 8pm
Friday: 5am - 6pm
Saturday: 7am - 6pm
Sunday: 7am - 6pm
Public holidays: 9am - 5pm. Closed on Christmas Day and Good Friday.

HEALTH CLUB HOURS:
Monday - Friday: 5.30am - 8pm
Saturday and Sunday: 7am - 2pm
Public holidays: 9am - 5pm","Aqua-aerobics, Diving, Gym, Heated pool, Kiosk, Open in winter, Outdoor pool, Squad Swimming, Stroke Development, Swim Fit, Swimming lessons, Wading pool",Yes,Car parking available; Public Transport,-27.455369,153.025067
Chermside Pool,"375 Hamilton Road, Chermside",1300 252 583,,"SUMMER (21 September 2013 - 20 April 2014):
Monday to Friday: 5.00am - 7:30pm
Saturday: 6:30am - 6:00pm
Sunday: 7:00am - 6:00pm
Public holidays: 9.00am - 5.00pm. Closed Christmas Day and Good Friday.

The Water Park is open from 10am to 5pm on weekends and during school holidays in summer only (subject to weather conditions).
WINTER:
Reduced facilities are available at this pool during winter. The water park is closed. Phone the pool for more information or go to their website.

Monday to Thursday: 5:30am - 7:00pm
Friday: 5:30am - 6:30pm
Saturday and Sunday: 7:00am - 4:00pm
Public holidays: Please call the pool for details. Anzac Day, 25 April: 1:00pm - 5:00pm (water park closed)","Aqua-aerobics, Disabled Access/Facilities, Heated pool, Indoor Pool, Kiosk, Leisure Centre/Water Park, Lifeguards, Open in winter, Outdoor pool, Squad Swimming, Stroke Development, Swimming lessons, Water play",Yes,Car park available; Public transport,-27.385829,153.035109
Colmslie Pool (Morningside),"400 Lytton Road, Morningside",1300 733 053,,"Closed Christmas Day and Good Friday.

This pool is open all year round, except for the wading pool which is only open during summer (September - April).

Monday - Thursday: 5:30am - 8:00pm
Friday: 5:30am - 6:00pm
Saturday and Sunday: 8:00am - 6:00pm
Public holidays: 9am - 5pm","Aqua-aerobics, Disabled Access/Facilities, Heated pool, Indoor Pool, Kiosk, Lifeguards, Open in winter, Outdoor pool, Swimming lessons, Wading pool, Water play",Yes,Car park available,-27.45516,153.078861
Dunlop Park Pool (Corinda),"794 Oxley Road, Corinda",3379 1630,,"Closed Christmas Day, Good Friday and Anzac Day.

SUMMER (21 September 2013 - 20 April 2014):
Monday to Friday: 5:30am - 7:00pm
Saturday: 7:00am - 6pm
Sunday: 8:00am - 6:00pm
Public holidays: 8:00am - 1:00pm

**50 metre pool CLOSED on the following dates for swim carnivals:
Friday 7 February - closed 8.30am to 2.30pm
Monday 10 February - closed 8.30am to 2.30pm
Friday 14 February - closed 8.30am to 2.30pm.**

WINTER:
Reduced facilities are available at the pool during winter months. The water park and wading pool are closed. Phone the pool for more information or go to their website.

Monday to Thursday: 5:30am - 7:00pm
Friday: 5:30am - 6:00pm
Saturday: 7:00am - 4:00pm
Sunday: 8:00am - 11am
Winter public holidays: Please call the pool for details. Closed on Anzac Day.","Aqua-aerobics, Barbeques, Disabled Access/Facilities, Heated pool, Indoor Pool, Kiosk, Leisure Centre/Water Park, Lifeguards, Open in winter, Outdoor pool, Squad Swimming, Stroke Development, Swimming lessons, Wading pool, Water play",Yes,Street Parking; Public transport,-27.546519,152.980628
Fortitude Valley Pool,"432 Wickham Street, Fortitude Valley",3852 1231,,"SUMMER (21 September 2013 - 20 April 2014):
Monday - Friday 5:30am - 7:30pm
Saturday: 5:30am - 6:00pm
Sunday: 7:30am - 6:00pm
Public holidays: 7.30am - 6.00pm. Closed Christmas Day and Good Friday

WINTER HOURS:
Monday to Thursday: 5:30am - 7:30pm
Tuesday nights - water polo club competition - 7.30pm - 9.30pm
Friday: 5:30am - 7:00pm
Saturday: 6:00am - 6:00pm
Sunday: 7:30am - 5:00pm
Public holidays: 9.00am - 5.00pm","Disabled Access/Facilities, Gym, Heated pool, Kiosk, Lifeguards, Open in winter, Outdoor pool, Squad Swimming, Stroke Development, Swimming lessons, Water Polo",Yes,Fortitude Valley Train Station,-27.4539,153.0368
Hibiscus Sports Complex (upper MtGravatt),"90 Klumpp Road, Upper Mount Gravatt",3403 7564,,"SUMMER (21 September 2013 - 20 April 2014):
Monday to Friday 5:45am - 7:30pm
Saturday 8:00am - 6:00pm
Sunday and public holidays: 12 noon - 6pm
Centre closed on Christmas Day and Good Friday.

WINTER SEASON:
During winter restricted facilities are available at this pool. Only the 25 metre pool operates. Phone the pool for more information or go to their website.

Monday, Wednesday and Friday: 5:45am - 8:30am; 11:30am - 1:30pm; 5:30pm - 7:30pm
CLOSED Tuesday and Thursdays
Saturday, Sunday and public holidays (excluding ANZAC Day): 12 midday - 4:00pm
ANZAC Day: 2pm - 6pm","Disabled Access/Facilities, Heated pool, Indoor Pool, Kiosk, Lifeguards, Open in winter, Outdoor pool, Squad Swimming, Swimming lessons, Wading pool, Water play",Yes,Car parks available; Public transport,-27.551826,153.07354
Ithaca Pool ( Paddington),"131 Caxton Street, Paddington",3369 2624,,"SUMMER (21 September 2012 - 14 April 2013):
Monday to Friday: 5:30am - 7:00pm
Saturday and Sunday: 8:00am - 6:00pm
Public Holidays: 9:00am - 5:00pm. Closed on Christmas Day and Good Friday.

**50 metre pool CLOSED from 9am to noon on 28 November for a school carnival.**

WINTER:
Pool CLOSED","Aqua-aerobics, Barbeques, Disabled Access/Facilities, Heated pool, Kiosk, Outdoor pool, Squad Swimming, Swimming lessons",Yes,Car parks available- Dowse St (off road) Caxton St (9:00am - 4:00pm) 2 hr limit,-27.462262,153.010347
Jindalee Pool,"11 Yallambee Road, Jindalee",3376 1002,,"SUMMER (21 September 2013 - 20 April 2014):
Monday to Friday: 5:30am - 7:30pm
Saturday: 6:00am - 6:00pm
Sunday: 8:00am - 6:00pm
Public Holidays: 9:00am - 5:00pm. Closed on Christmas Day and Good Friday.

WINTER SEASON:
Monday to Thursday: 5:30am - 6:30pm
Friday: 5.30am - 5.30pm
Saturday: 7am - 1pm
Sunday: Closed
Public Holidays: Closed","Aqua-aerobics, Heated pool, Indoor Pool, Kiosk, Lifeguards, Open in winter, Outdoor pool, Squad Swimming, Stroke Development, Swim Fit, Swimming lessons, Water play",No,Street Parking; Public transport,-27.532363,152.942691
Langlands Parks Pool (Stones Corner),"5 Panitya Street, Stones Corner",3397 7436,,"SUMMER (21 September 2013 - 20 April 2014):
Monday to Friday: 5:00am - 7:00pm
Saturday: 6:00am - 6:00pm
Sunday: 8:00am - 6:00pm
Public holidays: 9.00am - 5.00pm. Closed on Christmas Day and Good Friday.

WINTER:
Monday, Thursday: 5:00am - 7:00pm
Friday: 5:00am - 6:00pm
Saturday: 6:00am - 1:00pm
Sunday: 8:00am - 12 midday
Public holidays: closed
This pool has a heated indoor programs pool and a 50 metre outdoor pool that is heated in winter.","Aqua-aerobics, Disabled Access/Facilities, Heated pool, Kiosk, Lifeguards, Open in winter, Outdoor pool, Squad Swimming, Stroke Development, Swimming lessons, Wading pool, Water play, Water Polo",Yes,Street Parking; Public transport,-27.497689,153.04867
Manly Pool,"1 Fairlead Crescent, Manly",3396 3281,,"SUMMER (21 September 2013 - 20 April 2014):
Monday to Friday: 5:30am - 7:00pm
Saturday: 6:00am - 6:00pm
Sunday: 8:00am - 6:00pm
Public holidays 8:00am - 6:00pm. Closed on Christmas Day and Good Friday

WINTER SEASON:
Monday - Thursday: 5:30am - 7:00pm
Friday: 5:30am - 6:00pm
Saturday: 6:00am - 4:00pm
Sunday: 8:00am - 4:00pm
Public holidays: Please call pool for details. Anzac Day open from 1:00pm - 4:00pm.","Disabled Access/Facilities, Kiosk, Lifeguards, Open in winter, Outdoor pool, Squad Swimming, Swimming lessons, Wading pool, Water play",Yes,Car parks available; Public transport,-27.452285,153.187437
Mt Gravatt East Aquatic Centre,"Cnr wecker Road and Newnham Road, Mansfield",3216 8730,,"SUMMER (21 September 2013 - 20 April 2014):
Monday to Friday: 5.30am - 7:00pm
Saturday: 7:00am - 6:00pm
Sunday: 8:00am - 5:00pm
Public holidays: 9:00am - 5:00pm. Closed Christmas Day and Good Friday.

WINTER SEASON:
Monday - Friday: 6:00am - 7:00pm
Saturday: 7:00am - 5:00pm
Sunday: 8:00am - 3:00pm
Public holidays: Please call pool to discuss. Anzac Day open from 1:00pm - 5:00pm.","Disabled Access/Facilities, Gym, Heated pool, Indoor Pool, Kiosk, Lifeguards, Open in winter, Outdoor pool, Squad Swimming, Swimming lessons",Yes,Car park available; Public transport,-27.532135,153.094289
Musgrave Park Pool (South Brisbane),"100 Edmonstone Street, South Brisbane",3844 3858,,"SUMMER HOURS (21 September 2013 - 20 April 2014):
Monday to Friday: 5.30am - 7:00pm
Saturday and Sunday: 8:00am - 6:00pm
Public holidays: 9:00am - 5:00pm. Closed Christmas Day and Good Friday.

**50 metre pool is closed to public from 10am to 2pm on Friday, 14 February 2014 for a school carnival.**
WINTER:
This pool is CLOSED during winter.","Kiosk, Lifeguards, Outdoor pool, Water Polo",,Public Transport: Sth Brisbane Train Station,-27.479777,153.016806
Newmarket Pool,"71 Alderson Stret, Newmarket",3356 8434,,"SUMMER (21 September 2013 - 20 April 2014):
Saturday and Sunday: 8:00am - 6:00pm
Monday to Thursday: 5:30am - 7:00pm
Friday: 5:30am - 6:00pm
Public holidays: 9:00am - 5:00pm. Closed Christmas Day and Good Friday.

**50 metre pool closed on Tuesday 19 November from 9am to 3pm for a school carnival. The wading pool and leisure pools will be open and the 25 metre pool will be available from 12pm to 3pm.**

WINTER SEASON:
The heated 50 metre pool opens during winter. For information on the heated program pool and learn to swim (from 15 April to 8 June 2013) over winter, contact the pool.
Monday: 5:30am - 6:00pm
Tuesday: 5.30am - 6.00pm
Wednesday: 8am - 6pm
Thursday: 5.30am - 6pm
Friday: 5.30am - 6pm
Saturday: 8am - 1pm
Sunday: CLOSED

Adult squads (no bookings required) - $10 per session
Monday and Wednesday: 6.15pm - 7.30pm
Wednesday and Friday - 9.15am - 10.30am","Barbeques, Disabled Access/Facilities, Heated pool, Indoor Pool, Kiosk, Lifeguards, Open in winter, Outdoor pool, Squad Swimming, Swimming lessons, Wading pool, Water play",Yes,"Car park available
Public transport: Bus & train",-27.42968,153.006206
Runcorn Pool,"37 Bonemill Road, Runcorn",1300 733 053,,"SUMMER (21 September 2013 - 20 April 2014):
Monday to Thursday: 5:30am - 8:00pm
Friday: 5:30am - 6:00pm
Saturday and Sunday 8:00am - 6:00pm
Summer public holidays (until 15 April 2012): 9:00am - 5:00pm. Closed Good Friday and Christmas Day.

WINTER SEASON:
Monday to Thursday 5.30am to 8pm
Friday 5.30pm to 6pm
Saturday and Sunday 8.00am to 5pm
Winter public holidays: 9am to 5pm. Anzac Day open from 1:00pm - 5:00pm.","Disabled Access/Facilities, Heated pool, Indoor Pool, Kiosk, Lifeguards, Open in winter, Outdoor pool, Squad Swimming, Swimming lessons, Wading pool, Water play",Yes,Car parks available; Public transport,-27.591561,153.076415
Sandgate Pool,"231 Flinders Parade, Sandgate",3269 7946,,"SUMMER (21 September 2013 - 20 April 2014):
Monday to Friday: 5:30am - 7:00pm
Saturday: 6:00am - 6:00pm
Sunday: 8:00am - 6:00pm
Public holidays: 8:00am - 4:00pm. Closed Good Friday and Christmas Day

WINTER:
This pool is CLOSED for winter. Learn to swim continues to operate during winter. Contact the pool for information.","Indoor Pool, Kiosk, Lifeguards, Outdoor pool, Swimming lessons, Wading pool, Water play",No,Car Park available; Public Transport: Train,-27.311956,153.069098
Spring Hill Baths (inner City),"14 Torrington Street, Springhill",1300 733 053,,"SUMMER (21September 2013 - 20 April 2014):
Saturday and Sunday: 8:00am - 5:00pm
Monday to Thursday: 6:30am - 7:00pm
Friday: 6:30am - 6:00pm
Public holidays: 9:00am - 5:00pm. Closed Christmas Day and Good Friday.

WINTER:
Monday to Thursday: 6:30am - 7:00pm
Friday: 6:30am - 6:00pm
Saturday: 9:00am - 5:00pm
Sunday: 9:00 - 1:00pm
Public holidays: Please call the pool for details.","Aqua-aerobics, Heated pool, Indoor Pool, Kiosk, Lifeguards, Open in winter, Swimming lessons",No,On Street Parking,-27.459596,153.021548
Yeronga Park Pool,"81 School Road, Yeronga",3848 8575,,"SUMMER (21 September 2013 - 20 April 2014):
Monday - Thursday 5:00am - 7:30pm
Friday: 5:00am - 7:00pm
Saturday: 6:00am - 6:00pm
Sunday: 8:00am - 6:00pm
Public holidays: 9:00am - 5:00pm. Closed Christmas Day and Good Friday.

WINTER:
Monday to Thursday: 5:30am - 7:30pm
Friday: 5:30am - 6:00pm
Saturday: 6:00am - 1:00pm
Sunday 8:00am - 1:00pm
Public holidays: 9:00am - 1:00pm. Closed on Anzac Day.",Aqua aerobics; Disable access/Facilities; Heated Pool; Kiosk; Lifeguards; Outdoor Pool; Squad swimming; Stroke development; Swimming lessons/Learn to swim; Wading pool; Water Polo,Yes,Car park available; Public transport: Bus & train,-27.520527,153.018544
